id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
d5334a6a-89e1-4d20-a365-27ec06a666ca,"""2026-07-09T12:01:58.741Z""",2026-07-09T12:01:58.741000,success,200,GET,,/auth/v1/health,GET | 200 | https://bniipiamcnvacbwhoosx.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/cf9d375,{},[],edge,0,null,[],null
d8fe3b0f-8a65-4ce1-8102-a6bdb12932eb,"""2026-07-09T12:01:57.977Z""",2026-07-09T12:01:57.977000,success,200,POST,,/admin/v1/network-bans/retrieve,POST | 200 | https://bniipiamcnvacbwhoosx.supabase.co/admin/v1/network-bans/retrieve | @supabase-infra/mgmt-api/cf9d375,{},[],edge,0,null,[],null
0ada605b-2dda-46f2-b31d-48cdc3d9642e,"""2026-07-09T12:01:51.721Z""",2026-07-09T12:01:51.721000,success,200,GET,,/rest/v1/mental_state,"GET | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/mental_state?select=* | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
130e078d-96f0-4718-a38c-3eac41270eaf,"""2026-07-09T12:01:51.717Z""",2026-07-09T12:01:51.717000,warning,400,GET,,/rest/v1/mindset_tracker,"GET | 400 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/mindset_tracker?select=*&weekStartDate=eq.2026-07-05 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
9d34a691-1bc5-46ac-943c-e5b955a534c2,"""2026-07-09T12:01:51.716Z""",2026-07-09T12:01:51.716000,warning,400,GET,,/rest/v1/tasks,"GET | 400 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/tasks?select=*&weekStartDate=eq.2026-07-05 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
64cbd48b-43d2-4854-a8a3-dcc03d8c90e9,"""2026-07-09T12:01:51.687Z""",2026-07-09T12:01:51.687000,success,200,OPTIONS,,/rest/v1/tasks,"OPTIONS | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/tasks?select=*&weekStartDate=eq.2026-07-05 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
3cef7506-a1ad-4377-a776-c782b7686ed2,"""2026-07-09T12:01:51.687Z""",2026-07-09T12:01:51.687000,success,200,OPTIONS,,/rest/v1/mindset_tracker,"OPTIONS | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/mindset_tracker?select=*&weekStartDate=eq.2026-07-05 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
3105597c-42ce-492b-b651-cdbdf39dcdbb,"""2026-07-09T12:01:51.686Z""",2026-07-09T12:01:51.686000,success,200,OPTIONS,,/rest/v1/mental_state,"OPTIONS | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/mental_state?select=* | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
afacd3cf-99fb-4ea6-b813-be4c3fe483a6,"""2026-07-09T12:01:47.586Z""",2026-07-09T12:01:47.586000,success,200,GET,,/rest/v1/mental_state,"GET | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/mental_state?select=*&date=like.2026-07%25 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
1f5c027f-1074-44d3-82c0-794d3107d4f0,"""2026-07-09T12:01:47.585Z""",2026-07-09T12:01:47.585000,success,200,GET,,/rest/v1/habit_entries,"GET | 200 | https://bniipiamcnvacbwhoosx.supabase.co/rest/v1/habit_entries?select=*&date=like.2026-07%25 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
